label ID,root_path,filename,output_path
N2817,MU\SOIL64_4_8_10_20_3,SOIL_FRIT_8_10_20_3Series_003_Bone 0.5 SCAN 7,data\cores\N2817.nii.gz
N2902,MU\SOIL64_2_8_12_20_1,SOIL_FRIT_8_12_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N2902.nii.gz
N2905,MU\SOIL64_2_8_12_20_1,SOIL_FRIT_8_12_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N2905.nii.gz
N2919,MU\SOIL64_3_8_12_20_2,SOIL_FRIT_8_12_20_2Series_003_Bone 0.5 SCAN 5,data\cores\N2919.nii.gz
N3001,MU\SOIL64_8_7_20,SOIL_FRIT_8_7_20Series_004_Bone 0.5 SCAN 2,data\cores\N3001.nii.gz
N3009,MU\SOIL64_3_8_12_20_2,SOIL_FRIT_8_12_20_2Series_004_Bone 0.5 SCAN 6,data\cores\N3009.nii.gz
N3012,MU\DICOM_04\0000\003,,data\cores\N3012.nii.gz
N3018,MU\DICOM_01\0000\002,,data\cores\N3018.nii.gz
N3102,MU\DICOM_12\0000\003,,data\cores\N3102.nii.gz
N3104,MU\DICOM_03\0000\001,,data\cores\N3104.nii.gz
N3112,MU\DICOM_08\0000\003,,data\cores\N3112.nii.gz
N3113,MU\DICOM_13\0000\003,,data\cores\N3113.nii.gz
N3115,MU\SOIL64_2_8_7_20_1,SOIL_FRIT_8_7_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N3115.nii.gz
N3118,MU\DICOM_01\0000\003,,data\cores\N3118.nii.gz
N3119,MU\SOIL64_8_7_20,SOIL_FRIT_8_7_20Series_002_Bone 0.5 SCAN 1,data\cores\N3119.nii.gz
N3201,MU\SOIL64_3_8_5_20_2,SOIL_FRIT_8_5_20_2Series_003_Bone 0.5 SCAN 5,data\cores\N3201.nii.gz
N3203,MU\SOIL64_4_8_10_20_3,SOIL_FRIT_8_10_20_3Series_003_Bone 0.5 SCAN 7,data\cores\N3203.nii.gz
N3204,MU\DICOM_03\0000\002,,data\cores\N3204.nii.gz
N3205,MU\DICOM_16\0000\003,,data\cores\N3205.nii.gz
N3206,MU\SOIL64_4_8_10_20_3,SOIL_FRIT_8_10_20_3Series_004_Bone 0.5 SCAN 8,data\cores\N3206.nii.gz
N3210,MU\SOIL64_2_8_5_20_1,SOIL_FRIT_8_5_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N3210.nii.gz
N3211,MU\SOIL64_4_8_10_20_3,SOIL_FRIT_8_10_20_3Series_004_Bone 0.5 SCAN 8,data\cores\N3211.nii.gz
N3216,MU\SOIL64_3_8_7_20_2,SOIL_FRIT_8_7_20_2Series_004_Bone 0.5 SCAN 6,data\cores\N3216.nii.gz
N3217,MU\SOIL64_8_10_20,SOIL_FRIT_8_10_20Series_005_Bone 0.5 SCAN 2,data\cores\N3217.nii.gz
N3220,MU\SOIL64_2_8_19_20_1,SOIL_FRIT_8_19_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N3220.nii.gz
N3303,MU\SOIL64_8_19_20,SOIL_FRIT_8_19_20Series_004_Bone 0.5 SCAN 2,data\cores\N3303.nii.gz
N3305,MU\DICOM_05\0000\002,,data\cores\N3305.nii.gz
N3306,MU\DICOM_05\0000\002,,data\cores\N3306.nii.gz
N3307,MU\DICOM_05\0000\002,,data\cores\N3307.nii.gz
N3310,MU\DICOM_07\0000\002,,data\cores\N3310.nii.gz
N3311,MU\SOIL64_8_19_20,SOIL_FRIT_8_19_20Series_002_Bone 0.5 SCAN 1,data\cores\N3311.nii.gz
N3316,MU\SOIL_8_10_20_2,SOIL_8_10_20_2Series_004_Bone 0.5 SCAN 6,data\cores\N3316.nii.gz
N3317,MU\SOIL64_2_8_7_20_1,SOIL_FRIT_8_7_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N3317.nii.gz
N3318,MU\SOIL64_2_8_5_20_1,SOIL_FRIT_8_5_20_1Series_003_Bone 0.5 SCAN 3,data\cores\N3318.nii.gz
